Event__c,Attendee__c,Registration_Date__c,Status__c,VIP__c,Discount__c
"a00000000000001","a01000000000001","2024-12-01","Confirmed","FALSE",0
"a00000000000001","a01000000000002","2024-12-02","Confirmed","TRUE",10
"a00000000000001","a01000000000003","2024-12-03","Pending","FALSE",0
"a00000000000002","a01000000000004","2024-12-04","Confirmed","FALSE",5
"a00000000000002","a01000000000005","2024-12-05","Confirmed","TRUE",15
"a00000000000003","a01000000000006","2024-12-06","Confirmed","FALSE",0
"a00000000000003","a01000000000007","2024-12-07","Cancelled","FALSE",0
"a00000000000004","a01000000000008","2024-12-08","Confirmed","TRUE",20
"a00000000000004","a01000000000009","2024-12-09","Pending","FALSE",0
"a00000000000005","a01000000000010","2024-12-10","Confirmed","FALSE",0
